drug	bbb_Target	bbb_MechanismOfAction	bbb_CurrentlyApprovedForGBM	bbb_ClinicalExperienceInGBM	bbb_ClinicalExperiencePMIDOrClinicalTrialID	bbb_FDAapprovalDocuments	bbb_BBBPubmedID	bbb_BBBCitation	bbb_BBBInformation	bbb_ExperimentalEvidenceBBB	bbb_CNSActivityPredictionScoreMPOAnalysis	bbb_CNSActivityPredictionClassification	bbb_MDR_ABCB1_BCRP_ABCG2_substrate	bbb_TransporterSubstrate	bbb_TransporterInhibitor	bbb_EffluxPumpText	bbb_EffluxPubmedID	bbb_EffluxCitation	bbb_InfluxTransporterSubstrate	bbb_UptakeTransporterText	bbb_UptakeTransporterPubmedID	bbb_UptakeTransporterCitation	bbb_AdverseEffects	bbb_Drug_DrugInteractions	bbb_CYP450Substrate	bbb_CYP450Inhibitor	bbb_CYP450Inducer	bbb_FDAApprovalStatus	bbb_MPOValueClogP	bbb_MPOValueClogD	bbb_MPOValueTPSA	bbb_MPOValueMW	bbb_MPOValueHBD	bbb_MPOValuepKa	bbb_MPOT0ClogP	bbb_MPOT0ClogD	bbb_MPOT0TPSA	bbb_MPOT0MW	bbb_MPOT0HBD	bbb_MPOT0pKa	bbb_QikPropCNSActivity	bbb_QikPropmolMW	bbb_QPlogBB	bbb_QPlogKhsa	bbb_QPPCaco	bbb_QPPMDCK	bbb_RuleOfFive	bbb_QikPropBBBPlus	bbb_UptakeTransporterSubstrate	bbb_UptakeTransporterInhibitor	bbb_RouteofAdministration	bbb_BrandName
Lenalidomide	Unknown	immunomodulator, a structural and functional analogue of thalidomide. While they remain to be fully characterized, multiple mechanisms of action have been identified, including increasing hemoglobin expression by erythroid cells, inhibiting proliferation of certain hematopoietic tumour cells, enhancing T cell, NK cell and NK T cell number and activity, and inhibiting angiogenesis by blocking the migration and adhesion of endothelial cells and the formation of microvessels.1 It inhibits production of proinflammatory cytokines e.g., TNF and TNF alpha, and increases production of IL-2 and IFN gamma.2 One possible molecular target of lenalidomide is the Akt core signaling pathway, with which some of these effects are associated	NO	A pilot safety study of lenalidomide and radiotherapy for patients with newly diagnosed glioblastoma multiforme. The recommended dose for lenalidomide with radiotherapy is 15 mg/m(2)/d for 3 weeks followed by a 1-week rest period. Venous thromboembolic complications occurred in 4 patients, and prophylactic anticoagulation should be considered.	http://www.ncbi.nlm.nih.gov/pubmed/?term=18513880	Brain radioactivity was below the limit of detection	http://www.ncbi.nlm.nih.gov/pubmed/?term=22109830	Muscal J, Cancer Chemother Pharmacol 2012, 69:943-947	Thalidomide was detected in the CSF of all animals, with a median penetration of 42%. Lenalidomide was detected in the CSF of 2 of 3 animals, with a CSF penetration of 11% in each. Thalidomide and lenalidomide penetrate into the CSF after oral administration of clinically relevant doses. 	YES	5.066666667	YES	yes	ABCB1	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, CNS effects, Dermatologic reactions, Hepatotoxicity, Secondary malignancy, Thromboembolic events, Tumor flare, Tumor lysis syndrome	Abatacept, Anakinra, BCG, Canakinumab, Certolizumab Pegol, Clozapine, Coccidioidin Skin Test, Denosumab, Dexamethasone (Systemic), Digoxin, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Rilonacept, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tocilizumab, Tofacitinib, Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live)	unspecified	unspecified	unspecified	FDA Approved	-1.39	-1.39	93	259	3	2.77	1	1	0.9	1	0.166666667	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Revlimid
Letrozole	Aromatase Inhibitor	reversible (Type II), nonsteroidal aromatase inhibitor	NO	unspecified	unspecified	No CNS distribution information available.	http://www.ncbi.nlm.nih.gov/pubmed/?term=20842717+OR+23748921	Biegon A, Synapse 2010, 64:801-807; Dave N, Cancer Chemother Pharmacol 2013, 72:349-357	(1) Coadministration of unlabeled letrozole at a clinical dose diminished signals associated with [11C] vorozole in the brain in healthy subjects, indicating that the CNS concentration of letrozole was high enough to inhibit aromatase in the CNS. (2) Here, we investigated the pharmacokinetics of letrozole, a third-generation aromatase inhibitor, in the normal brain and in orthotopically implanted C6 glioma in Sprague-Dawley rats. For assessing normal versus tumoral brain pharmacokinetics, letrozole (4 or 8 mg/Kg; i.v.) was administered 10 days after implantation of C6 glioma in the brain. Dual-probe intracerebral microdialysis was employed for assessing ECF samples from tumor-free and tumor-bearing regions of the brain. Normal brain ECF and plasma C max and AUC0-8h increased linearly with letrozole doses up to 8 mg/kg dose, but at 12 mg/kg, the pharmacokinetics were nonlinear. The relative brain distribution coefficients, AUCECF/AUCplasma (ub), were 0.3-0.98. The tumoral uptake of letrozole was 1.5- to 2-fold higher relative to tumor-free region. letrozole permeability across the blood brain barrier is high, and the exposure to the brain is dose dependent. Furthermore, the brain tumoral letrozole levels are markedly higher than those in the tumor-free regions, which underscore potential selectivity of its activity against tumor cells.	YES	6	YES	unspecified	unspecified	unspecified	Anastrozole and vorozole were transported by P-glycoprotein (P-gp) in vitro, whereas none of the compounds were transported by breast cancer resistance protein (BCRP).   Active efflux mediated by P-gp at the blood-brain barrier limits the effect of anastrozole in the central nervous system, whereas vorozole and letrozole easily traverse the barrier.	http://www.ncbi.nlm.nih.gov/pubmed/?term=23712697	Miyajima M, J Pharm Sci 2013, 102:3309-3319	unspecified	unspecified	unspecified	unspecified	CNS depression , decreased bone mineral density, Increased cholesterol	Amphotericin B, Cardiac Glycosides, CYP2A6 Substrates, Methadone, Tamoxifen, Tegafur, Vitamin K Antagonists 	CYP2A6, CYP3A4	CYP2A6, CYP2C19	unspecified	FDA Approved	1.92	1.92	78	285	0	1.52	1	1	1	1	1	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Femara
Leucovorin	Folic acid agonist	active metabolite of folic acid and an essential coenzyme for nucleic acid synthesis.1 Leucovorin can be used to selectively “rescue” cells from the adverse effects of methotrexate or to increase the efficacy of fluorouracil.	NO	Phase II study of 5-fluorouracil and leucovorin in recurrent primary brain tumor; 5-fluorouracil and leucovorin would appear to be minimally effective in recurrent brain tumors.	http://www.ncbi.nlm.nih.gov/pubmed/?term=8943099	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=6600162	Mehta B, Cancer Res 1983, 43:435-438	It is also evident from our results not only that little leucovorin enters CSF but, more importantly, that its metabolite 5-MTHFA enters to only a modest degree after high-dose i.v. leucovorin administration. After the usual i.t. dosage, MTX concentrations remain 1 to 3 orders of magnitude higher than the highest 5-MTHFA level achieved in the CSF.	NO	3.192857143	NEUTRAL	unspecified	ABCC2; ABCC3	ABCC4; ABCC2	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Capecitabine, Fluorouracil (Systemic), Fluorouracil (Topical), Fosphenytoin, Glucarpidase, PHENobarbital, Phenytoin, Primidone, Raltitrexed, Tegafur, Trimethoprim 	unspecified	unspecified	unspecified	FDA Approved	-3.19	-7.81	216	473	8	5.66	1	1	0	0.192857143	0	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	unspecified
Leuprolide	LHRH agonist	luteinizing hormone releasing hormone (LHRH) agonist.	NO	unspecified	unspecified	No FDA review documents available online.	unspecified	unspecified	unspecified	unknown	2	NO	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Abnormal menses, Cardiovascular disease, Decreased bone density, Endometriosis, Hyperglycemia, Pituitary apoplexy, Seizures, Spinal cord compression, Tumor flare, Urinary tract obstruction 	Amphotericin B, Antidiabetic Agents 	unspecified	unspecified	unspecified	FDA Approved	0.91	-1.16	432	1209	17	14.12	1	1	0	0	0	0	-2	1124.749	-1.884	-5.505	73.801	29.57	2	No	unspecified	unspecified	IM, SC	unspecified
Lithium	Mood stabilizing agent	The precise mechanism of action of Li+ as a mood-stabilizing agent is currently unknown. It is possible that Li+ produces its effects by interacting with the transport of monovalent or divalent cations in neurons. An increasing number of scientists have come to the conclusion that the excitatory neurotransmitter glutamate is the key factor in understanding how lithium works. Lithium has been shown to change the inward and outward currents of glutamate receptors (especially GluR3), without a shift in reversal potential. Lithium has been found to exert a dual effect on glutamate receptors, acting to keep the amount of glutamate active between cells at a stable, healthy level, neither too much nor too little. It is postulated that too much glutamate in the space between neurons causes mania, and too little, depression. Another mechanism by which lithium might help to regulate mood include the non-competitive inhibition of an enzyme called inositol monophosphatase. Alternately lithium's action may be enhanced through the deactivation of the GSK-3B enzyme. The regulation of GSK-3B by lithium may affect the circadian clock. GSK-3 is known for phosphorylating and thus inactivating glycogen synthase. GSK-3B has also been implicated in the control of cellular response to damaged DNA. GSK-3 normally phosphorylates beta catenin, which leads to beta catenin degratation. When GSK-3 is inhibited, beta catenin increases and transgenic mice with overexpression of beta catenin express similar behaviour to mice treated with lithium. These results suggest that increase of beta catenin may be a possible pathway for the therapeutic action of lithium.	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=7827213	Plenge P, Biol Psychiatry 1994, 36:511-516	The brain-lithium concentration was measured by 7Li magnetic resonance spectroscopy (MRS). The brain lithium level was found to undulate in a peak-trough pattern that followed the serum lithium profile, although in an attenuated form. The brain/serum lithium concentration ratio varied considerably during the 48-hr period, ranging from 0.5 to 1.3, but the ratio was independent of the serum-lithium concentration. The median half-life for lithium was 28 hr in the brain, and 16 hr in serum. The brain lithium concentration in the morning was about 75% of the clinically relevant standard 12-hr serum lithium concentration. 	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	CNS depression, Renal effects	ACE Inhibitors, Amphetamines, Amphetamines, Angiotensin II Receptor Blockers, Antipsychotics, Antipsychotics, Calcitonin, Calcium Channel Blockers (Nondihydropyridine), Calcium Polystyrene Sulfonate, Carbamazepine, Carbonic Anhydrase Inhibitors, Desmopressin, Eplerenone, Fosphenytoin, Highest Risk QTc-Prolonging Agents, Loop Diuretics, MAO Inhibitors, Methyldopa, Metoclopramide, Mifepristone, Moderate Risk QTc-Prolonging Agents, Neuromuscular-Blocking Agents, Nonsteroidal Anti-Inflammatory Agents, Phenytoin, Potassium Iodide, Potassium-Sparing Diuretics, Selective Serotonin Reuptake Inhibitors, Serotonin Modulators, Sodium Bicarbonate, Sodium Chloride, Sodium Polystyrene Sulfonate, Theophylline Derivatives, Thiazide Diuretics, Topiramate, Tricyclic Antidepressants 	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	unspecified
Lomustine	Nitrosourea	highly lipid-soluble nitrosurea compound.4 Unlike carmustine, it is administered orally. Lomustine, a monofunctional alkylating agent, alkylates DNA and RNA, can cross-link DNA, and inhibits several enzymes by carbamoylation	YES	Controlled study with BCNU vs. CCNU as adjuvant chemotherapy following surgery plus radiotherapy for glioblastoma multiforme (1979); Present results show that in resectable glioblastoma multiforme, a slightly improved survival rate can be achieved by the prolonged use of adjuvant CCNU following maximal surgical resection and radiotherapy. The cure rate was not improved.	http://www.ncbi.nlm.nih.gov/pubmed/?term=229983	Because of the high lipid solubility and the relative lack of ionization at physiological pH, CeeNU crosses the blood-brain barrier quite effectively. Levels of radioactivity in the CSF are 50% or greater than those measured concurrently in plasma	unspecified	unspecified	unspecified	YES	5.453333333	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Hepatotoxicity, Pulmonary toxicity, Renal toxicity, Secondary malignancies	Amphotericin B, Aripiprazole, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Dofetilide, Echinacea, Leflunomide, Lomitapide, Natalizumab, Peginterferon Alfa-2b, Pimecrolimus, Pimozide, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live)	CYP2D6	CYP2D6, CYP3A4	unspecified	FDA Approved	2.76	2.76	62	234	1	-1.81	1	0.62	1	1	0.833333333	1	2	217.571	0.543	-1.573	5526.055	7007.48	0	Yes	unspecified	unspecified	Oral	CeeNU
Losartan	Angiotensin II receptor antagonist	The potassium salt of losartan, a non-peptide angiotensin II receptor antagonist with antihypertensive activity. Losartan selectively and competitively binds to the angiotensin II receptor (type AT1) and blocks the binding of angiotensin II to the receptor, thus promoting vasodilatation and counteracting the effects of aldosterone. Converted from angiotensin I by angiotensin-converting enzyme (ACE), angiotensin II stimulates the adrenal cortex to synthesize and secrete aldosterone, decreasing sodium excretion and increasing potassium excretion, and acts as a vasoconstrictor in vascular smooth muscle. 	NO	Phase III Angiotensin II Receptor Blockers, Steroids and Radiotherapy in Glioblastoma (ASTER); ongoing	http://www.clinicaltrials.gov/ct2/results?term=NCT01805453	Studies in rats indicate that losartan crosses the blood-brain barrier poorly, if at all.	http://www.ncbi.nlm.nih.gov/pubmed/?term=23487168	Michel M, Pharmacol Rev 2013, 65:809-848	Label information, when available, indicates that most ARBs, including azilsartan, candesartan, losartan, olmesartan, telmisartan, and valsartan, cross the blood-brain barrier poorly or not at all. Studies with losartan have given a variety of results, sometimes suggesting that losartan or its metabolite cannot cross the blood-brain barrier, sometimes demonstrating central effects. The difference may depend on dosing or on the models involved (Wong et al., 1990a; Bui et al., 1992; Li et al., 1993; Culman et al., 1999). However, the [125I]-(Sar1, Ile8) ANG brain autoradiography technique indicates that losartan does penetrate the blood-brain barrier in rats.	YES	4.665	YES	yes	ABCB1	ABCB1	losartan is transported by P-glycoprotein and other intestinal transporters, that do not include MRP-1 and MRP-2. In contrast, the carboxylic acid metabolite is not a P-glycoprotein substrate, but displays considerably higher affinity for other transporters than losartan, that again most probably do not include MRP-1 and MRP-2.	http://www.ncbi.nlm.nih.gov/pubmed/?term=10725273	Soldner A, Br J Pharmacol 2000, 129:1235-1243	unspecified	unspecified	unspecified	unspecified	Angioedema, Hyperkalemia, Hypotension, Renal funciton deterioration	ACE Inhibitors, Alfuzosin, Aliskiren, Amifostine, Amphetamines, Antifungal Agents (Azole Derivatives, Systemic), Antihypertensives, Aripiprazole, Brimonidine (Topical), Canagliflozin, Carvedilol, Cyclosporine (Systemic), CYP2C8 Substrates, CYP2C9 Inducers (Strong), CYP2C9 Inhibitors (Moderate), CYP2C9 Inhibitors (Strong), CYP2C9 Substrates, CYP3A4 Inducers (Strong), Dabrafenib, Dabrafenib, Deferasirox, Diazoxide, Dofetilide, Eplerenone, Fluconazole, Heparin, Heparin (Low Molecular Weight), Herbs (CYP3A4 Inducers), Herbs (Hypertensive Properties), Herbs (Hypotensive Properties), Hypotensive Agents, Lithium, Lomitapide, MAO Inhibitors, Methylphenidate, Mifepristone, Milk Thistle, Nonsteroidal Anti-Inflammatory Agents, Peginterferon Alfa-2b, Pentoxifylline, Phosphodiesterase 5 Inhibitors, Pimozide, Potassium Salts, Potassium-Sparing Diuretics, Prostacyclin Analogues, Rifamycin Derivatives, RiTUXimab, Sodium Phosphates, Tocilizumab, Tolvaptan, Trimethoprim, Yohimbine 	CYP2C9, CYP3A4	CYP1A2, CYP2C19, CYP2C8, CYP2C9, CYP3A4	unspecified	FDA Approved	3.57	1.6	93	423	2	4.35	0.715	1	0.9	0.55	0.5	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	hROAT1	Oral	Cozaar
Lovastatin	HMG-CoA-reductase inhibitor	A lactone metabolite isolated from the fungus Aspergillus terreus with cholesterol-lowering and potential antineoplastic activities. Lovastatin is hydrolyzed to the active beta-hydroxyacid form, which competitively inhibits 3-hydroxyl-3-methylgutarylcoenzyme A (HMG-CoA) reductase, an enzyme involved in cholesterol biosynthesis. In addition, this agent may induce tumor cell apoptosis and inhibit tumor cell invasiveness, possibly by inhibiting protein farnesylation and protein geranylgeranylation, and may arrest cells in the G1 phase of the cell cycle. The latter effect sensitizes tumor cells to the cytotoxic effects of ionizing radiation. 	NO	unspecified	unspecified	Animal studies demonstrated that lovastatin crosses the blood-brain and placental barriers.	http://www.ncbi.nlm.nih.gov/pubmed/?term=20633110	Wood W, Ann N Y Acad Sci 2010, 1199:69-76	Initially, we determined simvastatin, lovastatin and pravastatin levels in the cerebral cortex of mice who received statins for 21 days. Mice were sacrificed 24 h after the last statin administration, cerebral cortex dissected and statin levels were determined by LC-MS/MS. Relatively low levels of simvastatin and lovastatin lactones were detected but pravastatin was not detected in the cerebral cortex 24 h after the last drug administration. The low levels of simvastatin and lovastatin and the absence of pravastatin at 24 h were puzzling because of the significant effects of all 3 statins on brain gene expression. To begin to examine the possibility that statins did not accumulate in brain, we examined statins levels in mice given a single administration and then sacrificed at 1, 3, and 6 h following drug administration. Simvastatin, lovastatin and pravastatin were all detected in the cerebral cortex. Not surprisingly, brain levels of the three statins reflected their lipophilicity with simvastatin levels >lovastatin levels> pravastatin levels. Statins are substrates for P-gp and this transporter may play a role in statin efflux from cells. P-gp is a major component of the blood-brain-barrier and it is located in different brain cell types including neurons. P-gp could act as a transporter both at the blood-brain barrier and neuronal cells.	YES	3.976904762	YES	yes	ABCC2, ABCB1	ABCB1	We examined the disposition of atorvastatin, lovastatin, and simvastatin in acid and lactone forms and pravastatin in acid form in multidrug-resistant gene (mdr1a/b) knockout (KO), and wild-type (WT) mice. A significantly higher (p < 0.05) brain penetration in the KO compared with the WT mice was observed for lovastatin acid (but the brain/plasma ratio was low for both KO and WT mice) and lactone and simvastatin lactone but not for atorvastatin or pravastatin. The present results suggest that mouse P-glycoprotein does not affect the lactone-acid interconversion or liver-plasma distribution. Furthermore, P-glycoprotein plays a limited role in restricting the brain penetration of the acid forms of atorvastatin, pravastatin, simvastatin, lovastatin, and atorvastatin lactone but may limit the brain availability of the lactone forms of simvastatin and lovastatin.	http://www.ncbi.nlm.nih.gov/pubmed/?term=17640956	Chen C, Drug Metab Dispos 2007, 35:1725-1729	unspecified	unspecified	unspecified	unspecified	Diabetes mellitus, Hepatotoxicity, Immune-mediated necrotizing myopathy, Myopathy/rhabdomyolysis	Amiodarone, Antacids, Aripiprazole, Azithromycin (Systemic), Bezafibrate, Boceprevir, Bosentan, Clarithromycin, Colchicine, Cyclosporine (Systemic), CYP3A4 Inducers (Strong), CYP3A4 Inhibitors (Moderate), CYP3A4 Inhibitors (Strong), Cyproterone, Dabrafenib, Danazol, Daptomycin, Dasatinib, Deferasirox, Diltiazem, Dofetilide, Dronedarone, Efavirenz, Erythromycin (Systemic), Etravirine, Fenofibrate, Fenofibric Acid, Fluconazole, Fosphenytoin, Fusidic Acid, Gemfibrozil, Grapefruit Juice, Ivacaftor, Lanthanum, Lomitapide, Mifepristone, Niacin, Niacinamide, P-glycoprotein/ABCB1 Inducers, P-glycoprotein/ABCB1 Inhibitors, Pazopanib, Phenytoin, Pimozide, Protease Inhibitors, Proton Pump Inhibitors, Quinine, Ranolazine, Red Yeast Rice, Rifamycin Derivatives, Sildenafil, Sitagliptin, St Johns Wort, Telaprevir, Telithromycin, Ticagrelor, Tocilizumab, Trabectedin, Verapamil, Vitamin K Antagonists 	CYP3A4	CYP2C9, CYP3A4	unspecified	FDA Approved	4.07	4.07	73	405	1	0	0.465	0	1	0.678571429	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	SLCO1A2; SLCO1B1	Oral	Mevacor
Mebendazole	Anti-helminth	A synthetic benzimidazole derivate and anthelmintic agent. Mebendazole interferes with the reproduction and survival of helminths by inhibiting the formation of their cytoplasmic microtubules, thereby selectively and irreversibly blocking glucose uptake. This results in a depletion of glycogen stores and leads to reduced formation of ATP required for survival and reproduction of the helminth. This eventually causes the helminths death. 	NO	Phase I; Mebendazole in Newly Diagnosed High-Grade Glioma Patients Receiving Temozolomide; ongoing	http://www.clinicaltrials.gov/ct2/results?term=NCT01729260	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=21764822	Bai R, Neuro Oncol 2011, 13:974-982	With a molecular weight at 295 Da and lipophilic properties, MBZ is capable of passing through the blood-brain barrier. In fact, MBZ has effectively treated CNS echinococcosis in numerous clinical settings before, indicating significant CNS penetration of MBZ. In this study we showed that mebendazole significantly extended mean survival up to 63% in syngeneic and xenograft orthotopic mouse glioma models. 	YES	5.085	YES	unspecified	unspecified	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression	Aminoquinolines (Antimalarial), Carbamazepine, Cimetidine, Fosphenytoin, MetroNIDAZOLE (Systemic), MetroNIDAZOLE (Topical), Phenytoin 	unspecified	unspecified	unspecified	FDA Approved	2.83	2.83	84	295	2	4.7	1	0.585	1	1	0.5	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Vermox
Mechlorethamine	Alkylating agent	A bifunctional alkylating agent, interferes with DNA replication and RNA transcription as the result of formation of unstable carbonium ions which form interstrand cross-links with DNA,6 likely binding at the N7 position of guanine.7,8 Mechlorethamine has weak immunosuppressive properties	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=23745622	unspecified	unspecified	unknown	5	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Extravasation, Fertility effects, Gastrointestinal toxicities, Hypersensitivity, Immunosuppression, Secondary malignancies, Tumor lysis syndrome	Amphotericin B, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live) 	unspecified	unspecified	unspecified	FDA Approved	0.91	0.87	3	156	0	6.4	1	1	0	1	1	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	IV	Mustargen
Megestrol O-acetate	Progestin	synthetic progestin; megestrol is thought to act by suppressing release of luteinizing hormone from the pituitary gland or by a direct effect on cancer cells.1,3,4 Megestrol has slight glucocorticoid activity and a very slight degree of mineralocorticoid activity.3 Megestrol may also have antiandrogen activity, suppress adrenal androgens, and inhibit the enzyme 5 alpha–reductase	NO	unspecified	unspecified	No CNS distribution information available.	unspecified	unspecified	unspecified	unknown	5.618333333	YES	unspecified	unspecified	ABCB1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Adrenal suppression	Aminoglutethimide, Amphotericin B, Cyclosporine (Systemic), Dofetilide, Herbs (Progestogenic Properties), Ulipristal 	unspecified	unspecified	unspecified	FDA Approved	2.43	2.43	54	328	1	0	1	0.785	1	1	0.833333333	1	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral	Megace
Melphalan	Alkylating agent	bifunctional nitrogen mustard-derivative alkylating agent, is the L-isomer of mechlorethamine.4 Melphalan inhibits DNA and RNA synthesis via formation of interstrand cross-links with DNA, likely binding at the N7 position of guanine	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=3342460	Greig N, Cancer Chemother Pharmacol 1988, 21:1-8	following the administration of chlorambucil and melphalan, only low concentrations of active drug are able to enter the brain. LOW; low concentrations in CSF; plasma:CSF concentrations 10:1 to 100:1	NO	4.396666667	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Bone marrow suppression, Fertility effects, Gastrointestinal toxicity, Hepatotoxicity, Hypersensitivity reactions, Pulmonary toxicity, Secondary malignancy	Amphotericin B, BCG, Cardiac Glycosides, Carmustine, Clozapine, Coccidioidin Skin Test, Cyclosporine (Systemic), Denosumab, Echinacea, Leflunomide, Nalidixic Acid, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Vaccines (Inactivated), Vaccines (Live), Vitamin K Antagonists 	unspecified	unspecified	unspecified	FDA Approved	1.8	-0.71	67	305	3	9.54	1	1	1	1	0.166666667	0.23	1	287.061	0.178	-1.128	1363.659	3291.115	0	Yes	unspecified	SLC22A3	Oral, IV	Alkeran
Mercaptopurine	Purine antagonist	purine antagonist.4 It is a pro-drug that is converted intracellullarly.5 Mercaptopurine is first converted to thioinosine monophosphate (TIMP) by the enzyme hypoxanthine-guanine phosphoribosyl transferase (HGPRT).5 TIMP inhibits purine synthesis.6 TIMP is sequentially metabolized to thioguanine monophosphate (TGMP) and then to thioguanosine triphosphate (TGTP).6 The cytotoxic effect of mercaptopurine is a result of the incorporation of these nucleotides into DNA. Mercaptopurine is an immunosuppressant	NO	A phase III randomized prospective trial of external beam radiotherapy, mitomycin C, carmustine, and 6-mercaptopurine for the treatment of adults with anaplastic glioma of the brain. CNS Cancer Consortium. There was not a significant survival benefit to the addition of 6-MP to BCNU	http://www.ncbi.nlm.nih.gov/pubmed/?term=8598355	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=10794520	Deguchi Y, Life Sci 2000, 66:649-662	The brain tissue, cerebrospinal fluid (CSF), or hippocampal interstitial fluid (ISF) concentration of 6-MP was very low compared with the unbound plasma concentration, suggesting that 6-MP distribution in the brain is highly restricted. These data suggest that the restricted 6-MP brain distribution may be ascribed to efficient efflux from the brain, possibly via both the organic anion transport system, shared with probenecid and PAH, and the monocarboxylic acid transport system, shared with benzoate and salicylate.	NO	5.5	YES	unspecified	ABCC4; ABCC5	unspecified	Synergy with everolimus	unspecified	unspecified	yes	unspecified	unspecified	unspecified	Bone marrow suppression, Hepatotoxicity, Immunosuppression, Secondary maignancy	5-ASA Derivatives, Allopurinol, Amphotericin B, AzaTHIOprine, BCG, Clozapine, Coccidioidin Skin Test, Denosumab, Echinacea, Febuxostat, Leflunomide, Natalizumab, Pimecrolimus, Roflumilast, Sipuleucel-T, Sulfamethoxazole, Tacrolimus (Topical), Tofacitinib, Trastuzumab, Trimethoprim, Vaccines (Inactivated), Vaccines (Live), Vitamin K Antagonists, Vitamin K Antagonists 	unspecified	unspecified	unspecified	FDA Approved	-0.63	-0.63	85	152	2	2.3	1	1	1	1	0.5	1	0	148.142	-0.499	-1.166	9906.038	10000	0	Neutral	SLC22A8	SLC22A8	Oral	Purinethol
Mesna	Cytoprotective	synthetic compound that protects the bladder from the urotoxic metabolites of oxazaphosphorine derivatives (e.g., ifosfamide, cyclophosphamide) by chemically interacting with them and their metabolites as a sulfhydryl donor in urine.	NO	unspecified	unspecified	No FDA review documents available online.	http://www.ncbi.nlm.nih.gov/pubmed/?term=15372507	Mare S, Biomed Chromatogr 2005, 19: 80-86	We have described a simple, reproducible method for determining the concentrations of free MESNA in kidneys, along with other tissues such as livers, lungs and brains including plasma. The highest and lowest concentrations of MESNA in the tissue samples were observed in the kidneys and in the livers, respectively. Concentrations were brain 915.9 ± 254 and Plasma 980.5 ± 15.0 nmol/L.	YES	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Anaphylaxis/hypersensitivity reactions, Hematuria, Ifosfamide/cyclophosphamide toxicities	unspecified	unspecified	unspecified	unspecified	FDA Approved	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	unspecified	Oral, IV	Mesnex
